random_state,test_AUC,train_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
52,0.63,0.798,0.787,0.825,0.934,0.934,0.172,0.876,0.383,0.385,1.128,0.825,0.798,0.841,0.85,0.975,0.975,0.284,0.908,0.088,0.731,1.361,0.85
84,0.633,0.839,0.747,0.817,0.884,0.884,0.172,0.849,0.671,0.263,1.069,0.817,0.839,0.841,0.857,0.964,0.964,0.328,0.908,0.109,0.688,1.436,0.857
87,0.634,0.836,0.747,0.817,0.884,0.884,0.172,0.849,0.671,0.263,1.069,0.817,0.836,0.839,0.85,0.971,0.971,0.284,0.907,0.101,0.704,1.356,0.85
55,0.636,0.849,0.787,0.856,0.884,0.884,0.379,0.87,0.305,0.44,1.425,0.856,0.849,0.824,0.854,0.943,0.943,0.328,0.896,0.174,0.579,1.404,0.854
32,0.637,0.803,0.8,0.827,0.95,0.95,0.172,0.885,0.288,0.455,1.148,0.827,0.803,0.85,0.858,0.975,0.975,0.328,0.913,0.076,0.759,1.452,0.858
35,0.638,0.816,0.76,0.81,0.917,0.917,0.103,0.86,0.799,0.231,1.023,0.81,0.816,0.83,0.842,0.971,0.971,0.239,0.902,0.12,0.667,1.276,0.842
16,0.64,0.839,0.773,0.832,0.901,0.901,0.241,0.865,0.411,0.368,1.187,0.832,0.839,0.847,0.867,0.957,0.957,0.388,0.91,0.11,0.684,1.564,0.867
50,0.641,0.828,0.793,0.821,0.95,0.95,0.138,0.881,0.36,0.4,1.102,0.821,0.828,0.836,0.854,0.961,0.961,0.313,0.904,0.125,0.656,1.399,0.854
66,0.647,0.808,0.76,0.84,0.868,0.868,0.31,0.854,0.426,0.36,1.258,0.84,0.808,0.818,0.838,0.961,0.961,0.224,0.895,0.175,0.577,1.238,0.838
73,0.656,0.822,0.733,0.814,0.868,0.868,0.172,0.84,0.767,0.238,1.049,0.814,0.822,0.833,0.843,0.975,0.975,0.239,0.904,0.105,0.696,1.281,0.843
90,0.659,0.822,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,0.822,0.833,0.856,0.954,0.954,0.328,0.902,0.141,0.629,1.42,0.856
13,0.664,0.842,0.767,0.831,0.893,0.893,0.241,0.861,0.445,0.35,1.177,0.831,0.842,0.85,0.87,0.957,0.957,0.403,0.912,0.106,0.692,1.603,0.87
93,0.668,0.801,0.773,0.832,0.901,0.901,0.241,0.865,0.411,0.368,1.187,0.832,0.801,0.821,0.839,0.964,0.964,0.224,0.897,0.16,0.6,1.242,0.839
74,0.676,0.832,0.813,0.83,0.967,0.967,0.172,0.893,0.192,0.556,1.168,0.83,0.832,0.879,0.881,0.982,0.982,0.448,0.929,0.04,0.857,1.778,0.881
71,0.68,0.802,0.78,0.838,0.901,0.901,0.276,0.869,0.36,0.4,1.244,0.838,0.802,0.816,0.838,0.957,0.957,0.224,0.893,0.191,0.556,1.233,0.838
85,0.687,0.782,0.793,0.826,0.942,0.942,0.172,0.88,0.336,0.417,1.138,0.826,0.782,0.824,0.833,0.979,0.979,0.179,0.9,0.12,0.667,1.192,0.833
49,0.687,0.791,0.767,0.807,0.934,0.934,0.069,0.866,0.959,0.2,1.003,0.807,0.791,0.824,0.837,0.971,0.971,0.209,0.899,0.137,0.636,1.228,0.837
88,0.704,0.81,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,0.81,0.844,0.855,0.971,0.971,0.313,0.91,0.091,0.724,1.415,0.855
17,0.709,0.821,0.78,0.824,0.926,0.926,0.172,0.872,0.431,0.357,1.118,0.824,0.821,0.841,0.853,0.971,0.971,0.299,0.908,0.096,0.714,1.385,0.853
48,0.716,0.818,0.793,0.836,0.926,0.926,0.241,0.878,0.308,0.438,1.22,0.836,0.818,0.836,0.854,0.961,0.961,0.313,0.904,0.125,0.656,1.399,0.854
